shop_link,item_name,label
https://www.tokopedia.com/vivianmilkpie,"vivian milk pie , home made pie susu (pai susu) lezat tanpa pengawet",non-veg
https://www.tokopedia.com/growgruns,Pia Durian Vietnam (Banh Pia Chay - Dau Sau Rieng),veg
https://www.tokopedia.com/garudafood,Gery Saluut Malkist (3) Dan Chocolatos Drink(10) Matcha Latte - P2,non-veg
https://www.tokopedia.com/dianabakery,Brownies Panggang PREMIUM,non-veg
https://www.tokopedia.com/classicalmochi,Kue Mochi Enak ( Box Isi 12 ) - Classical Mochi,non-veg
https://www.tokopedia.com/kriukjaya,KUE NASTAR WISMAN SPESIAL,non-veg
https://www.tokopedia.com/dianabakery,Cheesecake PREMIUM,non-veg
https://www.tokopedia.com/steletecake,Kue Ulang Tahun Chocolate Fudge / Blackforest 16 cm bulat MURAH ENAK,non-veg
https://www.tokopedia.com/vinciboutique,Kue Kering Ina Cookies 500 gram,non-veg
https://www.tokopedia.com/sonnehouse,Kue Cina / Kue Keranjang / Kue khas Imlek Nian Gao ()/Ti Kwe (),non-veg
https://www.tokopedia.com/befondcake,Bika Ambon Original khas Medan ukuran 10x20 cm,veg
https://www.tokopedia.com/malangstrudel,Malang Strudel,non-veg
https://www.tokopedia.com/benmotoshop,Chocolatos Wafer Roll 1 Box - 24 Pcs Dus Pak - Stick Murah Garuda Food,veg
https://www.tokopedia.com/dodolnylauw,Kue Bulan Ny Lauw,non-veg
https://www.tokopedia.com/jccakery,Japanese Cheese Cake,non-veg
https://www.tokopedia.com/classicalmochi,Kue Mochi Enak ( Box Isi 20 ) - Classical Mochi,non-veg
https://www.tokopedia.com/cngshop,Beng Beng Pak,veg
https://www.tokopedia.com/lovelyfood,bsl bolu susu lembang rasa susu coklat / vanila / original bekasi,non-veg
https://www.tokopedia.com/dongansahuta,bolu meranti topping keju isi keju,non-veg
https://www.tokopedia.com/rmnusaindah,Molen Kartika Sari Bandung,veg
https://www.tokopedia.com/tokomyro,Wafer Beng-Beng / Bengbeng Caramel Crispy,veg
https://www.tokopedia.com/heavenlysweet,Ina Cookies Reguler 500g,non-veg
https://www.tokopedia.com/doughndelight,Roti bong,veg
https://www.tokopedia.com/mmsnacksbintaro,lapis talas bogor sangkuriang via gokilat only,veg
https://www.tokopedia.com/obabyhouse,Ladang Lima Blackmond Cookies,non-veg
https://www.tokopedia.com/jonikitchen,BAKPAO TELUR ASIN 15Pcs (Non Pengawet/Pewarna Buatan),veg
https://www.tokopedia.com/ppitangsel,Ina Cookies,non-veg
https://www.tokopedia.com/rmnusaindah,SPIKOE LAPIS SURABAYA (Ready Jakarta Gojek),veg
https://www.tokopedia.com/coklattobelo,RONDOLETTI / ASTOR RONDOLETTI,veg
https://www.tokopedia.com/classicalmochi,Classical Mochi Kue Mochi Plain,non-veg
https://www.tokopedia.com/software21,READY BANDUNG MAKUTA CAKE (Pemesanan hanya 4 pcs/ hari),non-veg
https://www.tokopedia.com/tatasnacks,Almond Crispy Cheese Wisata Rasa Surabaya,non-veg
https://www.tokopedia.com/stevieatscake,brownies toping luar biasa,non-veg
https://www.tokopedia.com/royalhealthfood,Ladang Lima Blackmond Cookies 180 gr,non-veg
https://www.tokopedia.com/benmotoshop,Beng-Beng / Beng Beng Chocolate Coklat 1 dus (20 pcs),non-veg
https://www.tokopedia.com/dianabakery,Brownies Almond | cokelat | kue | bolu | cake artis | chocolate,non-veg
https://www.tokopedia.com/rmnusaindah,PIE SUSU ASLI ENAK BALI,non-veg
https://www.tokopedia.com/pempektintinplg,Lempok Durian Asli Palembang (kecil),veg
https://www.tokopedia.com/rmnusaindah,Brownies Prima Rasa,non-veg
https://www.tokopedia.com/larisjayakue,Pie susu dhian,non-veg
https://www.tokopedia.com/sjfish,Ikan Tenggiri Giling,veg
https://www.tokopedia.com/chickenshop,Dada Ayam Fillet Tanpa Kulit,non-veg
https://www.tokopedia.com/sjfish,Tenggiri Giling Grade Super,veg
https://www.tokopedia.com/justbuy,daging fillet dada ayam / boneless dada ayam (frozen),non-veg
https://www.tokopedia.com/rokubento,Egg Chicken Roll,non-veg
https://www.tokopedia.com/ratudaging,USA beef slice / Daging Sapi Slice Tipis @1Kg - SUPER DEAL!!!,non-veg
https://www.tokopedia.com/ratudaging,DAGING SAPI AUSTRALIA SLICE TIPIS / SUKIYAKI / TERIYAKI - 1 Pack @1kg,non-veg
https://www.tokopedia.com/blisskitchenid,Daging Sapi Lapis US Sliced Beef / Yoshinoya Beef pack 500gr,non-veg
https://www.tokopedia.com/momotarokitchen,US Beef Yoshi / Sliced Beef,non-veg
https://www.tokopedia.com/ratudaging,Daging Sapi Giling Australia / Minced Beef,non-veg
https://www.tokopedia.com/ratudaging,USA Beef Slice - Juicy Tender High recomend!! Resto Quality@500gr/pack,non-veg
https://www.tokopedia.com/rasaindeh,DAging DUrian beku Full tanpa biji,non-veg
https://www.tokopedia.com/jonikitchen,BAKPAO ISI AYAM MERAH 15Pcs (Non MSG & Pengawet),non-veg
https://www.tokopedia.com/marstafood,Sosis Hotel Daging Sapi,non-veg
https://www.tokopedia.com/momotarokitchen,Wagyu Slice MB9+,non-veg
https://www.tokopedia.com/natha25,dimsum frozen 100pcs,veg
https://www.tokopedia.com/chickenshop,Paha Ayam Fillet Tanpa Kulit,non-veg
https://www.tokopedia.com/sumberfrozen,40 sosis ayam 1 kg kibif,non-veg
https://www.tokopedia.com/momotarokitchen,Wagyu Cube / Saikoro,non-veg
https://www.tokopedia.com/bliss-kitchen,Daging US Sliced Beef / Yoshinoya Beef / Yakiniku & Shabu2 Beef 500gr,non-veg
https://www.tokopedia.com/ratudaging,Ikan Tuna Fillet Steak / Tuna Fish Sushi Grade @500gr,veg
https://www.tokopedia.com/chickenshop,Paha Ayam Fillet Dengan Kulit,non-veg
https://www.tokopedia.com/baksosamara,Tahu Bakso Sapi isi 12 buah (Frozen Food/Baso Tahu/Bakso Sehat/cemil),non-veg
https://www.tokopedia.com/sumberfrozen,6 sosis sapi bakar bratwurst lada hitam black pepper 500gram king food,non-veg
https://www.tokopedia.com/belly,BACON BABI - STD (Pork Bacon Aroma/ Daging Babi Asap) - FROZEN FOOD,non-veg
https://www.tokopedia.com/belly,BACON BABI - BACK BACON (Pork Bacon Aroma/Daging Babi Asap)FROZEN FOOD,non-veg
https://www.tokopedia.com/jonikitchen,LUMPIA KULIT TAHU UDANG ISI 24Pcs (Non MSG/Pengawet),veg
https://www.tokopedia.com/frozenology,Daging Sapi Slice / Teriyaki / Sukiyaki / Shabu-Shabu,non-veg
https://www.tokopedia.com/blisskitchenid,TERMURAH Daging Sapi Lapis USA Sliced Beef / Yoshinoya Beef pack 250gr,non-veg
https://www.tokopedia.com/pempekmetro,IKAN KAKAP GILING SUPER,veg
https://www.tokopedia.com/frozenology,100% USA Beef Bifuyaki Yakiniku Shabu Sukiyaki Daging Slice Siap Kirim,non-veg
https://www.tokopedia.com/tukuayam,Daging Fillet Dada Ayam - Boneless Dada Ayam - Frozen,non-veg
https://www.tokopedia.com/chickenshop,Kepala Ayam Segar,non-veg
https://www.tokopedia.com/akirobento,Egg Chicken Roll,non-veg
https://www.tokopedia.com/ratudaging,Daging Sapi SOP / RAWON @1kg,non-veg
https://www.tokopedia.com/ratudaging,SAIKORO Beef / Wagyu Cubes @500gram - SUPER EMPUK - SPECIAL PRICES!!!,non-veg
https://www.tokopedia.com/blisskitchenid,Daging Sapi Wagyu Round Tenderloin Meltik / Meltique Beef Steak 200gr,non-veg
https://www.tokopedia.com/marstafood,Breakfast sosis hotel Beef,non-veg
https://www.tokopedia.com/chickenshop,Sayap Ayam Segar,non-veg
https://www.tokopedia.com/lovebakingshop,HOT SALE PROMO GOLDENFIL CHOCOLATE CRUNCHY SELAI CRISPY KUE ISIAN ROTI,non-veg
https://www.tokopedia.com/medemurah,Daging durian medan frozen (tanpa biji),non-veg
https://www.tokopedia.com/chaerulherbal,Kurma Hikmah ( Date Crown ) Jenis Khalas,veg
https://www.tokopedia.com/pojokdurian,Pancake Durian Mini 21 Raimbow,non-veg
https://www.tokopedia.com/assundari,Kurma Hikmah Khalas / Kholas 1 Kg,veg
https://www.tokopedia.com/rajaalpukat,PROMO Grand Opening Toped Alpukat Mentega (bergaransi),veg
